Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
32968863,"Den som stannar, den som går (Neapelkvartetten #3)",Elena Ferrante,"Ferrante, Elena",Johanna Hedenberg,"=""""","=""9789113069760""",5,4.31,Norstedts,Hardcover,425,2016,2013,,2021/01/18,,,read,,,,1,,,0,,,,,
34640965,"Det förlorade barnet (Neapelkvartetten, #4)",Elena Ferrante,"Ferrante, Elena",Johanna Hedenberg,"=""9113076264""","=""9789113076263""",5,4.41,Norstedts,Hardcover,480,2017,2014,,2021/01/18,,,read,,,,1,,,0,,,,,
25730293,Fem små grisar,Agatha Christie,"Christie, Agatha",,"=""9100468517""","=""""",5,4.01,Bonniers,Paperback,198,1986,1942,,2021/01/18,,,read,,,,1,,,0,,,,,
9847899,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",,"=""""","=""""",2,3.85,Public Domain Books,Kindle Edition,341,2010,1859,,2021/01/18,,,read,,,,1,,,0,,,,,
18230651,Business Unintelligence: Insight and Innovation Beyond Analytics and Big Data,Barry  Devlin,"Devlin, Barry",,"=""1935504568""","=""9781935504566""",0,3.43,Technics Publications,Paperback,419,2013,2013,,2021/01/18,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
12986800,"Frey (The Frey Saga, #1)",Melissa Wright,"Wright, Melissa",,"=""""","=""""",0,3.60,,Kindle Edition,246,2011,2011,,2021/01/18,,,read,,,,1,,,0,,,,,
16050719,Little Women (Little Women #1),Louisa May Alcott,"Alcott, Louisa May",,"=""""","=""""",0,4.09,,Kindle Edition,647,2012,1868,,2021/01/18,,,read,,,,1,,,0,,,,,
11398211,An Ideal Husband,Oscar Wilde,"Wilde, Oscar",,"=""""","=""""",0,4.04,,Kindle Edition,100,2011,1893,,2021/01/18,,,read,,,,1,,,0,,,,,
17937156,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave",Eleanor Marx,"=""""","=""""",0,3.68,,Kindle Edition,225,2012,1857,,2021/01/18,,,read,,,,1,,,0,,,,,
43634398,Candide,Voltaire,"Voltaire, Voltaire",,"=""""","=""""",0,3.77,,Kindle Edition,120,2011,1759,,2021/01/18,,,read,,,,1,,,0,,,,,
18619479,On the Decay of the Art of Lying,Mark Twain,"Twain, Mark",,"=""""","=""""",0,3.98,,Kindle Edition,6,2012,1882,,2021/01/18,,,read,,,,1,,,0,,,,,
12962899,"Pieces of Eight (The Frey Saga, #2)",Melissa Wright,"Wright, Melissa",,"=""""","=""""",0,3.92,,Kindle Edition,,2011,2011,,2021/01/18,,,read,,,,1,,,0,,,,,
9531737,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""""","=""""",0,4.55,Daw,Kindle Edition,1000,2011,2011,,2021/01/18,,,read,,,,1,,,0,,,,,
20562717,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""""","=""""",0,4.52,DAW,Kindle Edition,676,2007,2007,,2021/01/18,,,read,,,,1,,,0,,,,,
11168520,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""""","=""""",0,3.94,,Kindle Edition,240,,2003,,2021/01/18,,,read,,,,1,,,0,,,,,
